record,polled_utc,line,destination,arrival_utc,minutes_away
194,2025-05-07T17:11:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,16
195,2025-05-07T17:11:28+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,26
196,2025-05-07T17:12:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:18:10+00:00,5
197,2025-05-07T17:12:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,14
198,2025-05-07T17:12:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,24
199,2025-05-07T17:13:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:18:10+00:00,4
200,2025-05-07T17:13:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,13
201,2025-05-07T17:13:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,23
202,2025-05-07T17:14:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:54+00:00,3
203,2025-05-07T17:14:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,12
204,2025-05-07T17:14:35+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,22
205,2025-05-07T17:15:37+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:47+00:00,2
206,2025-05-07T17:15:37+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,11
207,2025-05-07T17:15:37+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,21
208,2025-05-07T17:16:39+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:53+00:00,1
209,2025-05-07T17:16:39+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,10
210,2025-05-07T17:16:39+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,20
211,2025-05-07T17:17:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:17:53+00:00,0
212,2025-05-07T17:17:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,9
213,2025-05-07T17:17:49+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,19
214,2025-05-07T17:18:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,8
215,2025-05-07T17:18:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,18
216,2025-05-07T17:18:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,29
217,2025-05-07T17:19:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,7
218,2025-05-07T17:19:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,17
219,2025-05-07T17:19:53+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,28
220,2025-05-07T17:20:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,6
221,2025-05-07T17:20:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,16
222,2025-05-07T17:20:55+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,27
223,2025-05-07T17:21:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:30+00:00,5
224,2025-05-07T17:21:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,15
225,2025-05-07T17:21:57+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,26
226,2025-05-07T17:22:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:27:52+00:00,4
227,2025-05-07T17:22:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,14
228,2025-05-07T17:22:59+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,25
229,2025-05-07T17:24:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:28:55+00:00,4
230,2025-05-07T17:24:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,13
231,2025-05-07T17:24:01+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,24
232,2025-05-07T17:25:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:28:12+00:00,3
